iter	Logloss
148	0.2512865379
149	0.2500132789
150	0.2490843527
151	0.2478206929
152	0.2469245241
153	0.2456031889
154	0.2447281384
155	0.2435692703
156	0.2423630661
157	0.241293031
158	0.2400401504
159	0.2386395416
160	0.2374940125
161	0.2364733735
162	0.2352370116
163	0.233984351
164	0.2328792787
165	0.2317862454
166	0.2312148908
167	0.2302681459
168	0.2292019505
169	0.2283419588
170	0.2272320869
171	0.2263922335
172	0.2256467327
173	0.2246957681
174	0.223815758
175	0.2227777004
176	0.2216440303
177	0.2205724154
178	0.2196041722
179	0.2186593472
180	0.2175004992
181	0.216381268
182	0.2154662206
183	0.2146113284
184	0.2136568842
185	0.2126755621
186	0.2116260654
187	0.2109106221
188	0.2102394154
189	0.2091807794
190	0.2084700358
191	0.2077189154
192	0.2071000445
193	0.206312767
194	0.2055727657
195	0.2046130619
196	0.2036878153
197	0.2032091733
198	0.2021913541
199	0.2013065043
200	0.2003504602
201	0.1996894526
202	0.1988619583
203	0.1982317883
204	0.1975163651
205	0.1967517258
206	0.1960478816
207	0.1953495571
208	0.1944533082
209	0.1936035956
210	0.1927056269
211	0.1920877559
212	0.191292919
213	0.1905215402
214	0.1896743074
215	0.1889915216
216	0.1883327939
217	0.1875492361
218	0.1868966079
219	0.1863678099
220	0.1857405396
221	0.1851107496
222	0.1844163647
223	0.1836994216
224	0.1830536729
225	0.1823564482
226	0.1817406171
227	0.1811032276
228	0.1804989956
229	0.1799180817
230	0.1793578062
231	0.1788013103
232	0.1783446866
233	0.1778126288
234	0.1771392622
235	0.1764725951
236	0.1758472848
237	0.1752618512
238	0.174735233
239	0.174068106
240	0.1734921517
241	0.1729502347
242	0.1725325278
243	0.1720443066
244	0.1714375547
245	0.1708614604
246	0.1703466813
247	0.1699607119
248	0.1693753784
249	0.1688919567
250	0.1683440802
251	0.1679694299
252	0.1674787389
253	0.1671040486
254	0.1666070981
255	0.1661498343
256	0.1655982481
257	0.1650547213
258	0.164616316
259	0.1640935375
260	0.163482986
261	0.1630283621
262	0.1625007539
263	0.1619878446
264	0.1615335707
265	0.1610081024
266	0.1604928933
267	0.160068317
268	0.1595459784
269	0.1590319392
270	0.158669828
271	0.1583625323
272	0.1578466533
273	0.1574058283
274	0.1569904012
275	0.1566554078
276	0.156212643
277	0.1557054832
278	0.1552951558
279	0.1547511389
280	0.1542319702
281	0.1538323319
282	0.1534131451
283	0.1529980281
284	0.1526016895
285	0.1522372185
286	0.1517909739
287	0.1514753889
288	0.151020765
289	0.1506713227
290	0.1502563857
291	0.1499908367
292	0.1496926704
293	0.1493239097
294	0.1490375724
295	0.1486296148
296	0.1482187174
297	0.1477794522
298	0.1474053819
299	0.1470359712
300	0.146660781
301	0.1462048172
302	0.1457820907
303	0.1454650659
304	0.1450785466
305	0.1447560122
306	0.1445604877
307	0.1442565418
308	0.1438559836
309	0.1435320193
310	0.1431244016
311	0.1427349726
312	0.1423949195
313	0.1420033006
314	0.1416884056
315	0.1413345037
316	0.1411141212
317	0.1406725362
318	0.1403339431
319	0.1400132286
320	0.1396611165
321	0.1393554807
322	0.1391241591
323	0.1387907656
324	0.1385368257
325	0.1380985405
326	0.1376932827
327	0.137298004
328	0.1369337729
329	0.1367125705
330	0.1364472715
331	0.1360671517
332	0.1358551185
333	0.1355304243
334	0.1352868236
335	0.1349100535
336	0.1346162169
337	0.1342523257
338	0.1339771676
339	0.1337314071
340	0.1335064849
341	0.1332196077
342	0.1329848663
343	0.1326311544
344	0.1323256586
345	0.1319921451
346	0.1317501143
347	0.1314573175
348	0.1312233461
349	0.1309487079
350	0.1306396024
351	0.1303918421
352	0.1301236834
353	0.1297356042
354	0.1294406876
355	0.1291989768
356	0.1289350077
357	0.1286583297
358	0.128503632
359	0.1282743002
360	0.1279682844
361	0.1277579011
362	0.1274359667
363	0.1273281952
364	0.1270551569
365	0.1268287349
366	0.1265790547
367	0.1264247869
368	0.1262683193
369	0.1260344779
370	0.1258379735
371	0.1256007123
372	0.1253248642
373	0.1251343893
374	0.124936475
375	0.1246680663
376	0.1244614227
377	0.1241876545
378	0.1239675819
379	0.12373935
380	0.123513118
381	0.1232922955
382	0.1230579041
383	0.1228513105
384	0.1227345798
385	0.1225592537
386	0.1223088136
387	0.1220752921
388	0.1218987061
389	0.1217393788
390	0.1215647526
391	0.1213124326
392	0.1211598748
393	0.1209152042
394	0.1207139601
395	0.120488338
396	0.120275215
397	0.1200560923
398	0.1198664374
399	0.1197248986
400	0.1194331418
401	0.1192060098
402	0.1189781179
403	0.1187669147
404	0.1186204563
405	0.1183962041
406	0.1181804812
407	0.1180232137
408	0.11781815
409	0.117616376
410	0.1174497792
411	0.117237556
412	0.1169922055
413	0.1168663055
414	0.1166721009
415	0.116494355
416	0.1163383974
417	0.1161530421
418	0.1159267401
419	0.1157467743
420	0.1155382709
421	0.1154201003
422	0.1152827712
423	0.1150150224
424	0.1148868426
425	0.1147544131
426	0.1146156641
427	0.114465566
428	0.1142363542
429	0.1140392698
430	0.1138197873
431	0.1136983969
432	0.1134797642
433	0.1133799322
434	0.1132089857
435	0.1129753143
436	0.1127498322
437	0.1125219503
438	0.1123832713
439	0.112197066
440	0.1120418084
441	0.1119124586
442	0.1117903783
443	0.1116523093
444	0.1115248894
445	0.1113381342
446	0.1112107543
447	0.111051057
448	0.1108676015
449	0.1107301725
450	0.1106031825
451	0.1104674233
452	0.1103428532
453	0.1102215128
454	0.1100475166
455	0.1098808899
456	0.1097017341
457	0.1095025499
458	0.1094144569
459	0.1093129749
460	0.1091665765
461	0.1090080291
462	0.1088197641
463	0.1086973738
464	0.108530987
465	0.1084122164
466	0.1083108644
467	0.1081770551
468	0.108039426
469	0.1079083164
470	0.1077720972
471	0.1075945913
472	0.1074904196
473	0.1073271425
474	0.1071335579
475	0.1069797101
476	0.1068466407
477	0.1067064218
478	0.1065517741
479	0.1064250341
480	0.1063060636
481	0.1061842632
482	0.1060677825
483	0.1059251338
484	0.1057880047
485	0.1057047913
486	0.1055366846
487	0.1054082548
488	0.1052748554
489	0.1051953717
490	0.1051000893
491	0.1049736493
492	0.1048289608
493	0.1047276688
494	0.104510936
495	0.1043706771
496	0.1042287684
497	0.1041065581
498	0.1039400913
499	0.1038551981
500	0.1037067298
501	0.1035215045
502	0.1034050138
503	0.1033128611
504	0.103175292
505	0.1030694504
506	0.1029443503
507	0.1027994918
508	0.1026989398
509	0.1026068971
510	0.1025225838
511	0.1024201719
512	0.1023197399
513	0.1021650522
514	0.1021052969
515	0.1019746673
516	0.1018413079
517	0.1016707914
518	0.101524443
519	0.1014202513
520	0.1013038505
521	0.1012147076
522	0.1010981768
523	0.1009903254
524	0.1009280204
525	0.1008097197
