iter	Passed	Remaining
186	9806	42633
187	9855	42565
188	9907	42511
189	9966	42487
190	10050	42569
191	10104	42521
192	10166	42511
193	10214	42436
194	10282	42449
195	10345	42436
196	10405	42415
197	10459	42365
198	10527	42373
199	10593	42374
200	10659	42371
201	10721	42355
202	10775	42306
203	10829	42257
204	10886	42218
205	10951	42212
206	11022	42227
207	11074	42169
208	11168	42269
209	11232	42256
210	11298	42249
211	11348	42182
212	11393	42098
213	11436	42005
214	11493	41966
215	11542	41893
216	11577	41776
217	11628	41714
218	11683	41666
219	11712	41527
220	11774	41503
221	11830	41461
222	11879	41392
223	11933	41342
224	12008	41362
225	12104	41453
226	12152	41383
227	12234	41424
228	12298	41406
229	12355	41364
230	12417	41338
231	12484	41328
232	12522	41223
233	12568	41143
234	12625	41098
235	12685	41068
236	12727	40974
237	12777	40908
238	12831	40857
239	12877	40778
240	12925	40705
241	12977	40649
242	13029	40588
243	13082	40535
244	13130	40462
245	13176	40385
246	13223	40312
247	13262	40213
248	13294	40098
249	13336	40009
250	13380	39927
251	13425	39850
252	13477	39794
253	13584	39896
254	13644	39864
255	13704	39827
256	13753	39763
257	13793	39670
258	13846	39614
259	13881	39509
260	13920	39416
261	13990	39408
262	14101	39516
263	14154	39460
264	14245	39511
265	14309	39484
266	14352	39401
267	14391	39307
268	14439	39238
269	14498	39200
270	14530	39088
271	14568	38993
272	14595	38866
273	14635	38778
274	14684	38714
275	14726	38630
276	14778	38573
277	14826	38505
278	14874	38439
279	14909	38338
280	14955	38267
281	15027	38260
282	15098	38252
283	15177	38263
284	15287	38353
285	15387	38415
286	15444	38367
287	15504	38330
288	15570	38307
289	15621	38246
290	15702	38258
291	15785	38275
292	15889	38341
293	15985	38386
294	16053	38364
295	16110	38316
296	16156	38242
297	16219	38207
298	16306	38230
299	16372	38202
300	16460	38224
301	16516	38172
302	16558	38090
303	16596	37996
304	16633	37901
305	16686	37844
306	16727	37760
307	16754	37643
308	16797	37562
309	16834	37470
310	16879	37395
311	16934	37343
312	16965	37237
313	17015	37174
314	17084	37152
315	17155	37134
316	17200	37058
317	17240	36974
318	17281	36891
319	17323	36811
320	17356	36714
321	17398	36634
322	17442	36558
323	17475	36461
324	17513	36375
325	17561	36308
326	17594	36211
327	17636	36133
328	17684	36066
329	17714	35966
330	17745	35866
331	17787	35789
332	17831	35716
333	17864	35622
334	17889	35512
335	17936	35445
336	17970	35353
337	18014	35282
338	18053	35202
339	18101	35138
340	18139	35055
341	18187	34993
342	18250	34957
343	18292	34884
344	18381	34897
345	18451	34876
346	18528	34868
347	18571	34795
348	18615	34724
349	18687	34705
350	18731	34633
351	18791	34593
352	18845	34540
353	18909	34507
354	18956	34441
355	18998	34367
356	19040	34294
357	19095	34243
358	19142	34179
359	19207	34147
360	19245	34066
361	19305	34024
362	19348	33953
363	19405	33905
364	19521	33961
365	19612	33973
366	19899	34322
367	19982	34317
368	20068	34318
369	20116	34253
370	20152	34167
371	20196	34094
372	20255	34048
373	20297	33973
374	20354	33924
375	20408	33870
376	20448	33792
377	20517	33761
378	20560	33688
379	20634	33666
380	20694	33621
381	20765	33594
382	20808	33521
383	20848	33445
384	20906	33395
385	20947	33320
386	20987	33243
387	21049	33202
388	21095	33134
389	21137	33060
390	21173	32979
391	21232	32932
392	21279	32866
393	21335	32815
394	21375	32739
395	21423	32675
396	21473	32616
397	21518	32547
398	21572	32493
399	21626	32440
400	21720	32445
401	21768	32382
402	21818	32322
403	21872	32267
404	21904	32181
405	21939	32099
406	21972	32013
407	22005	31929
408	22041	31850
409	22082	31777
410	22127	31710
411	22167	31636
412	22205	31561
413	22247	31490
414	22291	31423
415	22337	31358
416	22395	31310
417	22454	31264
418	22489	31184
419	22537	31122
420	22575	31047
421	22618	30980
422	22667	30919
423	22704	30843
424	22750	30780
425	22787	30703
426	22836	30644
427	22895	30599
428	22941	30534
429	22977	30458
430	23023	30395
431	23065	30326
432	23107	30258
433	23136	30173
434	23180	30107
435	23234	30055
436	23280	29992
437	23327	29931
438	23404	29908
439	23549	29971
440	23648	29975
441	23749	29982
442	23783	29904
443	23819	29828
444	23864	29763
445	23936	29732
446	23988	29677
447	24040	29621
448	24093	29566
449	24143	29508
450	24192	29449
451	24238	29386
452	24278	29316
453	24334	29266
454	24381	29203
455	24435	29151
456	24498	29108
457	24539	29039
458	24584	28976
459	24628	28911
460	24665	28838
461	24701	28764
462	24798	28761
463	24889	28751
464	24948	28704
465	24996	28643
466	25054	28595
467	25103	28535
468	25163	28489
469	25209	28428
470	25258	28369
471	25329	28334
472	25368	28265
473	25427	28216
474	25478	28159
475	25529	28103
476	25578	28045
477	25633	27992
478	25675	27926
479	25741	27886
480	25795	27833
481	25845	27776
482	25994	27824
483	26070	27793
484	26179	27798
485	26228	27739
486	26361	27769
487	26456	27757
488	26545	27739
489	26633	27720
490	26722	27702
491	26819	27692
492	26918	27682
493	27017	27673
494	27079	27626
495	27179	27618
496	27244	27573
497	27291	27510
498	27388	27498
499	27454	27454
500	27519	27409
501	27567	27347
502	27615	27286
503	27658	27219
504	27717	27168
505	27767	27109
506	27846	27077
507	27902	27024
508	27987	26998
509	28053	26953
510	28121	26911
511	28160	26840
512	28204	26775
513	28271	26731
514	28329	26679
515	28395	26634
516	28463	26591
517	28526	26543
518	28579	26487
519	28647	26443
520	28689	26376
521	28736	26314
522	28790	26258
523	28863	26219
524	28905	26152
525	28956	26094
